article_id,brand,Betriebssystem,Speicherkapazität,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Auflösung,Akkukapazität,Auflösung Hauptkamera,Grafik-Controller-Serie,avg_price
1294291-BP,Samsung,Android,16,1.5,1.2,20 cm (8"),NaN,4000-4999 mAh,3,NaN,355.1024
1457156-BP,Samsung,Android,16,2,1.6,25 cm (10"),8,NaN,NaN,NaN,254.24976
1457155-BP,Samsung,Android,16,2,1.6,25 cm (10"),8,NaN,NaN,NaN,226.0126
1457154-BP,Samsung,Android,16,2,1.6,25 cm (10"),8,NaN,NaN,NaN,226.0126
W919471,Samsung,Windows 10 Home,128,4,NaN,30 cm (12"),2160x1440,NaN,NaN,Intel HD Graphics 500,908.43
1490665-BP,Archos,Android,64,1,1.3,25 cm (10"),1024x600,NaN,NaN,NaN,134.50505
1507116-BP,Huawei Technologies,Android,16,2,1.2,18 cm (7"),NaN,NaN,13,NaN,221.94969
1420915-BP,Huawei Technologies,Android,16,2,1.5,25 cm (10"),NaN,NaN,13,NaN,287.3558
1382846-BP,Wortmann,Windows 8.1 32-Bit,128,4,2.9,25 cm (10"),1920x1200,NaN,NaN,NaN,2217.5195
1507115-BP,Huawei Technologies,Android,16,2,1.2,18 cm (7"),NaN,NaN,13,NaN,221.94969
1507117-BP,Huawei Technologies,Android,16,2,1.2,18 cm (7"),NaN,NaN,13,NaN,221.94969
1409362-BP,Microsoft,Windows 10 Professional,128,4,3,30 cm (12"),2736x1824,NaN,NaN,Intel HD Graphics 500,865.30493
1434003-BP,Acer,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,NaN,NaN,Intel HD Graphics 500,1262.5278
1492661-BP,Asus,Windows 10 Home,512,16,2.5,30 cm (12"),2880x1620,NaN,NaN,Intel HD Graphics 500,1530.9346
1496539-BP,HP,Windows 10 Home,512,8,2.5,33 cm (13"),1920x1080,NaN,NaN,Intel HD Graphics 500,1186.1436
1496537-BP,HP,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,NaN,NaN,Intel HD Graphics 500,1099.2457
1425619-BP,Microsoft,Windows 10 Professional,256,8,2.4,33 cm (13"),3000x2000,NaN,NaN,NaN,1596.9978
1487839-BP,Microsoft,Windows 10 Professional,1000,16,3.4,33 cm (13"),3000x2000,NaN,NaN,NaN,2856.9304
1409363-BP,Microsoft,Windows 10 Professional,256,8,3,30 cm (12"),2736x1824,NaN,NaN,NaN,1186.892
1409365-BP,Microsoft,Windows 10 Professional,256,16,3.4,30 cm (12"),2736x1824,NaN,NaN,NaN,1535.9921
1409361-BP,Microsoft,Windows 10 Professional,128,4,2.2,30 cm (12"),2736x1824,NaN,NaN,Intel HD Graphics 500,824.97156
1496532-BP,HP,Windows 10 Home,256,8,2.2,33 cm (13"),2560x1440,NaN,NaN,NaN,1375.9045
1518155-BP,Odys,Windows 10 Home 32-Bit,32,2,1.4,28 cm (11"),1366x768,NaN,NaN,Intel HD Graphics 400,197.9467
1462887-BP,HP,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,NaN,NaN,NaN,1186.1436
90NB0B51-M01450,Asus,Windows 10 Professional,256,8,NaN,30 cm (12"),1920x1080,NaN,NaN,Intel HD Graphics 500,989.3661
90NB0C62-M03560,Asus,Windows 10 Professional,256,8,2.3,30 cm (12"),NaN,NaN,NaN,Intel HD Graphics 500,1203.8807
W919491,Samsung,Windows 10 Professional,128,4,NaN,30 cm (12"),2160x1440,NaN,NaN,Intel HD Graphics 500,989.75
W919801,Samsung,Windows 10 Home,128,4,NaN,30 cm (12"),2160x1440,NaN,NaN,Intel HD Graphics 500,826.04
