set_id,price,brand,Betriebssystem,Speicherkapazitaet,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Aufloesung,Festplatte,Akkukapazitaet,Aufloesung Hauptkamera,SSD-Speicherkapazitaet,Grafik-Controller-Serie
12276133,260.0,Samsung,Android,16,2,1.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
8235187,172.28732,Medion,Android,64,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
10531463,2910.0,EXTRA Computer,Windows 7 Professional,128,unknown,unknown,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
10563058,780.05,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4824044,1268.3234,Acer,Windows 10 Home,256,8,2.5,33 cm (13"),2560x1440,256,unknown,unknown,256,Intel HD Graphics 500
13719740,456.46228,Apple,Apple iOS,32,2,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
8105923,1241.6675,Getac,Android,16,1,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
3652653,312.46112,HP,Windows 10 Home,unknown,4,1.6,28 cm (11"),1366x768,500,unknown,unknown,unknown,Intel HD Graphics 400
2977115,115.179985,Asus,Android,16,1,1.1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
5567127,543.8028,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6364292,481.86023,Apple,unknown,16,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
308768,439.28998,Apple,Apple iOS,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
13431566,33.95895,Thomson,Android,4,0.5,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
2517388,299.98895,Huawei Technologies,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1751096,4107.029,Phoenix Contact,Windows 7 Ultimate 64-Bit,unknown,unknown,1.6,33 cm (13"),unknown,unknown,unknown,unknown,unknown,unknown
11363269,532.64667,Apple,Apple iOS,64,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
13319603,165.78499,Samsung,Android,8,1.5,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
5189239,865.9009,Getac,Android,16,1,1,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
13927831,387.58865,Apple,unknown,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
1726916,203.21999,Colorovo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3533274,553.0688,Lenovo,Windows 10 Professional 64-Bit,64,4,2.4,25 cm (10"),1920x1200,64,unknown,unknown,64,Intel HD Graphics 400
12871027,1319.9401,Getac,Android,unknown,4,unknown,20 cm (8"),1280x800,unknown,unknown,unknown,unknown,unknown
2109623,892.9078,Microsoft,unknown,128,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
5902770,729.0,HP,Windows 8 Pro 32-Bit,64,2,1.8,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15427113,819.24054,Unbekannt,unknown,128,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
2827474,239.77383,Apple,unknown,16,unknown,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
15487698,377.20813,Samsung,Android,16,1.5,1.2,20 cm (8"),unknown,unknown,4000-4999 mAh,3,unknown,unknown
55580,1723.3165,Winmate,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
16291915,1187.1007,Dell,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
507900,223.72346,Huawei Technologies,Android,16,2,2,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
14173337,823.4228,Apple,unknown,256,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
11930905,8996.782,Apple,unknown,128,2,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
15530167,2203.4067,Acer,Android,32,2,1.5,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
4002422,395.50778,Samsung,Android,32,3,1.3,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
6185507,129.7807,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2109606,2231.0369,Microsoft,unknown,unknown,8,unknown,30 cm (12"),unknown,1000,unknown,unknown,unknown,unknown
12954782,185.15994,Huawei Technologies,Android,8,1,1.2,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
