brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Elco	DIN A4 (210 x 297 mm)	blau	100	80	4.28625	4.507195472717285
Igepa	DIN A4 (210 x 297 mm)	weiss	500	80	4.5262465	5.051706314086914
Clairefontaine	DIN A4 (210 x 297 mm)	hellgelb	500	80	8.64	6.6976189613342285
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	500	90	11.956123	11.642555236816406
TOP-Preis	DIN A4 (210 x 297 mm)	eisblau	250	120	5.1280007	5.4569878578186035
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	1000	160	39.083465999999994	12.547565460205078
Staples	DIN A4 (210 x 297 mm)	weiss	25	190	5.9679985	17.206636428833008
Clairefontaine	DIN A3 (297 x 420 mm)	unknown	500	80	11.608347	8.257000923156738
HP	DIN A4 (210 x 297 mm)	weiss	500	80	3.2152216	43.573970794677734
Papier Union	unknown	braun	100	320	12.883252	63.29641342163086
Papyrus	DIN A4 (210 x 297 mm)	blau	250	160	7.705114999999999	22.35411834716797
Arjowiggins	unknown	beige	100	90	9.437750999999999	4.489328384399414
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	90	6.0334086	9.158783912658691
Image	DIN A4 (210 x 297 mm)	weiss	125	280	8.985833	10.257048606872559
Staples	DIN A4 (210 x 297 mm)	orange	500	80	9.214317999999999	5.96650505065918
Rainbow	DIN A4 (210 x 297 mm)	weiss	250	120	5.7271410000000005	5.164585113525391
Clairefontaine	DIN A4 (210 x 297 mm)	gruen	100	80	4.5168114	5.001531600952148
Staples	DIN A4 (210 x 297 mm)	gold	500	80	4.772536	24.807132720947266
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	4.7745404	7.372062683105469
Xerox	DIN A3 (297 x 420 mm)	weiss	250	160	10.981060000000001	14.826555252075195
Papier Union	unknown	californiablau	100	120	3.3719997000000004	11.021332740783691
Staufen	DIN A4 (210 x 297 mm)	weiss	100	80	1.8043901000000002	1.5349156856536865
Unbekannt	DIN A3 (297 x 420 mm)	weiss	500	80	10.361153999999999	9.914345741271973
