brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Elco	DIN A4 (210 x 297 mm)	blau	100	80	4.28625	3.37614369392395
Igepa	DIN A4 (210 x 297 mm)	weiss	500	80	4.5262465	4.396086692810059
Clairefontaine	DIN A4 (210 x 297 mm)	hellgelb	500	80	8.64	6.213685512542725
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	500	90	11.956123	10.934605598449707
TOP-Preis	DIN A4 (210 x 297 mm)	eisblau	250	120	5.1280007	11.627167701721191
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	1000	160	39.083465999999994	12.270979881286621
Staples	DIN A4 (210 x 297 mm)	weiss	25	190	5.9679985	16.75925064086914
Clairefontaine	DIN A3 (297 x 420 mm)	unknown	500	80	11.608347	8.398818969726562
HP	DIN A4 (210 x 297 mm)	weiss	500	80	3.2152216	42.77351760864258
Papier Union	unknown	braun	100	320	12.883252	61.36700439453125
Papyrus	DIN A4 (210 x 297 mm)	blau	250	160	7.705114999999999	21.710100173950195
Arjowiggins	unknown	beige	100	90	9.437750999999999	4.084883213043213
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	90	6.0334086	9.391373634338379
Image	DIN A4 (210 x 297 mm)	weiss	125	280	8.985833	8.407408714294434
Staples	DIN A4 (210 x 297 mm)	orange	500	80	9.214317999999999	5.260767459869385
Rainbow	DIN A4 (210 x 297 mm)	weiss	250	120	5.7271410000000005	5.0459699630737305
Clairefontaine	DIN A4 (210 x 297 mm)	gruen	100	80	4.5168114	4.732199668884277
Staples	DIN A4 (210 x 297 mm)	gold	500	80	4.772536	55.660491943359375
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	4.7745404	7.290247440338135
Xerox	DIN A3 (297 x 420 mm)	weiss	250	160	10.981060000000001	14.492372512817383
Papier Union	unknown	californiablau	100	120	3.3719997000000004	9.449711799621582
Staufen	DIN A4 (210 x 297 mm)	weiss	100	80	1.8043901000000002	1.6592199802398682
Unbekannt	DIN A3 (297 x 420 mm)	weiss	500	80	10.361153999999999	9.768064498901367
Papyrus	DIN A3 (297 x 420 mm)	weiss	50000	80	479.42822	432.58868408203125
Clairefontaine	DIN A3 (297 x 420 mm)	gruen	500	80	8.849999	10.600689888000488
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	500	80	5.519637599999999	9.55962085723877
Mondi	DIN A4 (210 x 297 mm)	unknown	500	70	3.1173333999999997	3.124452590942383
Clairefontaine	DIN SRA3 (320 x 450 mm)	weiss	250	120	8.994665	14.23871898651123
Sigel	DIN A4 (210 x 297 mm)	weiss	50	200	14.040498000000001	19.852073669433594
Xerox	unknown	weiss	500	80	2.7171084999999997	10.54609489440918
Inacopia	DIN A4 (210 x 297 mm)	hochweiss	2500	80	18.494417000000002	14.736087799072266
Clairefontaine	DIN A3 (297 x 420 mm)	hellgelb	500	80	11.631751	17.118635177612305
Steinbeis Papier	DIN A4 (210 x 297 mm)	gruen	500	80	6.1127706	4.844890594482422
Mondi	DIN A4 (210 x 297 mm)	weiss	250	160	10.297914500000001	9.874188423156738
Mondi	DIN A4 (210 x 297 mm)	weiss	2500	90	29.424167999999998	7.278419494628906
Clairefontaine	unknown	unknown	unknown	unknown	0.25777778	13.133675575256348
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	4.49	9.780723571777344
Xerox	unknown	weiss	500	100	18.25095	16.149595260620117
Papier Union	unknown	unknown	unknown	unknown	36.02235	48.2528076171875
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	125	250	4.472569999999999	5.669643878936768
Unbekannt	DIN A4 (210 x 297 mm)	gelb	250	160	8.616667999999999	9.476059913635254
