brand	Betriebssystem	Speicherkapazitaet	Arbeitsspeicher	CPU-Taktfrequenz	Bilddiagonale	Festplatte	price	prediction
Vision	Android	8	0.5	1.2	"23 cm (9"")"	unknown	375.3522	78.63404083251953
Microsoft	Windows 10 Professional	256	8	2.4	"30 cm (12"")"	unknown	1076.7155	1157.76416015625
Asus	Android	16	2	1.2	"18 cm (7"")"	unknown	147.95	220.99188232421875
Samsung	Android	16	unknown	1.2	"23 cm (9"")"	unknown	7081.033	1338.005615234375
Apple	unknown	256	unknown	unknown	"30 cm (12"")"	unknown	782.2058	1021.0135498046875
Thomson	Windows 8.1	32	1	1.3	unknown	unknown	151.79285	267.2673645019531
Samsung	Android	32	3	1.8	"20 cm (8"")"	unknown	333.9511	3864.85498046875
Samsung	Android	8	1	1	"18 cm (7"")"	unknown	123.175995	387.0434265136719
Getac	unknown	unknown	unknown	unknown	unknown	unknown	1542.2284	1875.9267578125
Samsung	Android	32	3	1.8	"23 cm (9"")"	unknown	6460.041	5138.2978515625
Acer	unknown	unknown	unknown	unknown	unknown	unknown	161.23358000000002	818.766845703125
Getac	unknown	128	4	1.6	"20 cm (8"")"	128	1567.3265	4920.4189453125
Getac	Windows 10 Professional	64	4	1.6	"20 cm (8"")"	64	1484.0917	5437.76806640625
Mpman	Android	16	1	1.2	"25 cm (10"")"	unknown	71.09689	90.91919708251953
Acer	Android	16	1	1.3	"25 cm (10"")"	unknown	241.08649	238.3435516357422
TrekStor	Android	8	1	1.2	"25 cm (10"")"	unknown	132.2549	82.73719024658203
Samsung	Android	32	3	1.9	"30 cm (12"")"	unknown	620.15	408.9330749511719
Hannspree	Android	8	unknown	1.3	"25 cm (10"")"	unknown	100.0408	1276.0201416015625
Asus	Windows 10 Home	128	4	1.4	"25 cm (10"")"	128	5677.531	332.7848205566406
Apple	Apple iOS	128	unknown	unknown	"18 cm (7"")"	unknown	601.21405	638.901123046875
Lenovo	Android	unknown	2	1.3	"20 cm (8"")"	unknown	4528.1978	3764.62060546875
HP	unknown	unknown	unknown	unknown	unknown	unknown	1116.9333	1310.0689697265625
Asus	Android	8	1	1.2	"18 cm (7"")"	unknown	72.369	209.6193389892578
Lenovo	Windows 10 Home 64-Bit	1000	8	2.5	"36 cm (14"")"	1000	604.4681	608.3759765625
Odys	Windows 10 Home	32	2	1.4	unknown	32	232.14382999999998	109.53684997558594
Lenovo	Windows 10 Home	unknown	4	2	"38 cm (15"")"	unknown	331.94446	1220.3292236328125
Xoro	Android	16	unknown	1.3	"61 cm (24"")"	unknown	213.35841000000002	232.10018920898438
Asus	unknown	unknown	unknown	unknown	unknown	unknown	215.21751	23239.16015625
Samsung	Android	8	1.5	1.3	"23 cm (9"")"	unknown	145.14934	399.7086486816406
Asus	Windows 10 Home	64	2	1.5	"25 cm (10"")"	64	322.16556	446.45831298828125
Prestigio	Android	4	unknown	1	"18 cm (7"")"	unknown	62.369335	965.3797607421875
Hamlet	Android	16	1	1.6	unknown	unknown	192.14484	84.06632232666016
Acer	Android	16	1	1.3	"25 cm (10"")"	unknown	236.05712999999997	238.3435516357422
Apple	Apple iOS	64	unknown	unknown	"18 cm (7"")"	unknown	530.99506	520.635498046875
Acer	Windows 10 Home	64	2	1.3	"25 cm (10"")"	64	221.45537000000002	320.1049499511719
Samsung	Android	8	1.5	1.3	"23 cm (9"")"	unknown	596.1568	399.7086486816406
Thomson	Windows 8.1	32	2	1.3	"25 cm (10"")"	unknown	162.96153	422.1974182128906
Lenovo	unknown	unknown	unknown	unknown	unknown	unknown	7650.6226	5343.92041015625
Captiva	Android	16	2	1.6	"25 cm (10"")"	unknown	95.32072	205.82327270507812
Sony	Windows 8 64-Bit	500	4	1.6	"38 cm (15"")"	500	875.5499	547.0780029296875
Panasonic	Android	32	2	1.7	"13 cm (5"")"	unknown	1487.02	28931.111328125
Modecom	Android	16	2	1.6	"25 cm (10"")"	unknown	2700.3408	1292.5838623046875
Hannspree	unknown	unknown	unknown	unknown	"25 cm (10"")"	unknown	104.267944	5713.93408203125
Unbekannt	unknown	256	unknown	unknown	"30 cm (12"")"	unknown	888.98975	713.976318359375
Samsung	Windows 8 Pro 64-Bit	128	4	1.7	"28 cm (11"")"	128	1103.31	891.464111328125
Samsung	Android	16	2	1.6	"25 cm (10"")"	unknown	199.16978	301.3753967285156
Getac	Windows 10 Professional 64-Bit	128	8	2.3	"28 cm (11"")"	128	2699.6013	1396.5465087890625
Sony	Android	32	2	1.5	"25 cm (10"")"	unknown	437.4	359.3660583496094
Apple	unknown	128	unknown	unknown	unknown	unknown	1122.2987	2120.760986328125
Lenovo	Android	64	4	1.4	unknown	unknown	360.76035	814.567626953125
Fujitsu	Windows 10 Professional	256	unknown	3	"30 cm (12"")"	unknown	20344.164	1577.2320556640625
Lenovo	Android	unknown	unknown	1.3	"25 cm (10"")"	unknown	4122.2046	5402.61767578125
Mpman	Android	16	1	1.3	"25 cm (10"")"	unknown	76.44456	77.47795867919922
Danew	Android	4	0.5	1.5	"18 cm (7"")"	unknown	38.642628	99.99323272705078
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	1189.8323	1775.8271484375
TrekStor	Android	16	1	1.1	"33 cm (13"")"	unknown	184.63618	15409.8330078125
Samsung	Android	32	3	1.9	"20 cm (8"")"	unknown	443.79822	559.9429931640625
