set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
9573170,5.0291667,Clairefontaine,DIN A4 (210 x 297 mm),gruen,100,80
261581,8.503332,Papyrus,DIN A3 (297 x 420 mm),weiss,500,80
10934642,14.967858,Mondi,DIN SRA3 (320 x 450 mm),weiss,500,90
2805223,16.885489,Papyrus,DIN A4 (210 x 297 mm),weiss,2500,80
228998,88.15223,Schaefer Group,DIN A4 (210 x 297 mm),weiss,500,80
14055289,11.160002,Freytag & Petersen,DIN A3 (297 x 420 mm),weiss,250,160
4350816,7.441803,Mondi,DIN A3 (297 x 420 mm),hochweiss,500,80
5509235,5.966667,Papyrus,DIN A4 (210 x 297 mm),weiss,250,160
10978224,117.57589,HP,61 m,weiss,unknown,125
227672,13.329997,Clairefontaine,DIN A4 (210 x 297 mm),unknown,250,160
846558,5.751667,Clairefontaine,DIN A4 (210 x 297 mm),weiss,500,80
15921338,10.400754,Arjowiggins,unknown,hellblau,100,240
6971180,7.2670836,Inapa,DIN A3 (297 x 420 mm),unknown,500,80
7501825,24.774502,Papier Union,DIN A2 (420 x 594 mm),vanille,100,120
8238229,3.4314952,5 Star,DIN A4 (210 x 297 mm),weiss,500,75
10591993,7.179499,Papier Union,DIN A5 (148 x 210 mm),gruen,100,170
8663333,2.2133334,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),weiss,50,80
707585,25.058802,Canon,DIN A3 (297 x 420 mm),weiss,100,100
15784477,17.233864,REY,DIN A4 (210 x 297 mm),ultraweiss,2000,100
16065147,7.1891665,Xerox,DIN A3 (297 x 420 mm),weiss,500,75
13556234,3.4684787,Portucel Soporcel,DIN A4 (210 x 297 mm),unknown,500,75
12744052,6.3079724,Clairefontaine,DIN A4 (210 x 297 mm),gelb,250,160
511128,8.8963375,Clairefontaine,DIN A4 (210 x 297 mm),elfenbein,500,100
5938712,5.4337306,Antalis,DIN A4 (210 x 297 mm),weiss,500,100
1329015,24.798002,Papier Union,DIN A2 (420 x 594 mm),elfenbein,100,120
13374453,7.8305016,Xerox,DIN A4 (210 x 297 mm),weiss,500,120
1194462,14.565226,Clairefontaine,DIN A3 (297 x 420 mm),rosa,250,160
8064030,12.6235,Arjowiggins,DIN A3 (297 x 420 mm),blau,100,120
1264886,22.989586,Image,DIN A3 (297 x 420 mm),weiss,250,200
14469139,7.0408335,Clairefontaine,DIN A4 (210 x 297 mm),elfenbein,250,100
409430,10.417796,Canon,10 x 15 cm,weiss,50,260
13880661,10.333485,Xerox,DIN A4 (210 x 297 mm),weiss,500,90
13926508,10.722499,Papyrus,DIN A3 (297 x 420 mm),weiss,500,80
14250066,14.158716,Canon,DIN A4 (210 x 297 mm),weiss,20,260
6231989,11.636751,Clairefontaine,DIN A3 (297 x 420 mm),hellblau,500,80
12942798,7.047778,Portucel Soporcel,DIN A3 (297 x 420 mm),unknown,500,80
12587583,6.222083,Clairefontaine,DIN A4 (210 x 297 mm),weiss,250,135
14422475,7.39162,Mondi,DIN A4 (210 x 297 mm),blau,500,80
12623782,15.6800585,Igepa,DIN A3 (297 x 420 mm),weiss,500,90
7501830,3.1307502,Papier Union,unknown,vanille,100,120
1170494,24.3122,Clairefontaine,DIN A4 (210 x 297 mm),gelb,1000,160
6820195,29.014286,Inapa,DIN A4 (210 x 297 mm),weiss,2500,80
12447262,19.905588,Avery Zweckform,DIN A4 (210 x 297 mm),weiss,75,125
490564,6.2557154,Mondi,DIN A4 (210 x 297 mm),unknown,500,80
7464302,9.957749,Papier Union,unknown,creme,100,240
2326609,76.68,Clairefontaine,DIN A4 (210 x 297 mm),orange,1000,210
7407713,7.0823464,Unbekannt,DIN A4 (210 x 297 mm),gruen,500,80
8219979,17.548252,Arjowiggins,unknown,californiablau,100,170
8064090,14.433497,Arjowiggins,DIN A3 (297 x 420 mm),sonnenblumengelb,100,120
8996983,32.4254,Papyrus,DIN A3 (297 x 420 mm),rosa,500,80
10808948,9.215114,Staples,DIN A4 (210 x 297 mm),rosa,500,80
12512800,6.459166,Clairefontaine,DIN A4 (210 x 297 mm),blau,500,100
12838426,5.36875,Clairefontaine,DIN A4 (210 x 297 mm),gruen,500,80
16074066,4.2418537,Portucel Soporcel,DIN A4 (210 x 297 mm),unknown,500,75
